account_number,product_name,balance
8586572337,Mutual Funds,679398.0
2936054247,Mutual Funds,30996.0
5994069487,High Yeld Savings,719613.0
3896596233,High Yeld Savings,308488.0
6422412172,High Yeld Savings,301363.0
1983891023,High Yeld Savings,58661.0
5194628740,High Yeld Savings,900243.0
1776475481,Bonds,834831.0
5386993923,Stocks,656192.0
4700584844,Bonds,288414.0
3111909430,Mutual Funds,19689.0
809857380,Stocks,902871.0
8718135449,Mutual Funds,775888.0
6226583188,Stocks,608894.0
5093639435,Bonds,809345.0
7951930871,High Yeld Savings,435317.0
8121375202,Bonds,637942.0
7994123348,High Yeld Savings,366149.0
3874758288,High Yeld Savings,6042.0
4859712400,High Yeld Savings,345693.0
4053883505,Bonds,411262.0
592541752,Stocks,257531.0
4512730517,High Yeld Savings,903493.0
192773129,Stocks,104699.0
7250948443,Bonds,330428.0
9860374061,High Yeld Savings,926457.0
8001384273,Stocks,940608.0
601289951,High Yeld Savings,706579.0
6353677387,High Yeld Savings,186578.0
5959865984,High Yeld Savings,654011.0
9565202581,Stocks,889204.0
7589331485,High Yeld Savings,307476.0
700725172,High Yeld Savings,490718.0
320966172,Bonds,836140.0
9296973838,Stocks,147425.0
7620135582,Mutual Funds,541749.0
4003326737,High Yeld Savings,473979.0
7925742709,Bonds,142996.0
7749362863,High Yeld Savings,792727.0
4718480131,Stocks,761943.0
1214263094,Stocks,219410.0
3178546342,High Yeld Savings,976093.0
7868624492,High Yeld Savings,159124.0
888484066,High Yeld Savings,466087.0
8962363996,Bonds,918698.0
9712845554,Stocks,755997.0
5047153814,Mutual Funds,395262.0
2732033126,High Yeld Savings,619442.0
2416106241,High Yeld Savings,631145.0
9913804472,Stocks,390096.0
9298357660,Bonds,605719.0
4456351833,High Yeld Savings,631827.0
6104374996,High Yeld Savings,325238.0
4922969242,Bonds,507732.0
3833944285,High Yeld Savings,813268.0
615074247,High Yeld Savings,179384.0
6264037905,Mutual Funds,381750.0
3798274455,Stocks,867518.0
6886165723,Bonds,463445.0
2532348384,Stocks,590895.0
3896658145,High Yeld Savings,714293.0
5211968374,Mutual Funds,848546.0
9373282803,High Yeld Savings,446166.0
4091750717,High Yeld Savings,30743.0
4915028629,High Yeld Savings,218027.0
9783113900,High Yeld Savings,552266.0
1427756066,Stocks,395801.0
1952476811,Stocks,29805.0
2345521631,Mutual Funds,95512.0
4636132074,High Yeld Savings,191064.0
6011390160,High Yeld Savings,873367.0
9595942482,High Yeld Savings,149089.0
1309193580,Mutual Funds,171573.0
2091514279,High Yeld Savings,366327.0
9206039335,Mutual Funds,751907.0
5972323815,Stocks,466972.0
5954010297,Bonds,213392.0
4565690571,Stocks,12704.0
9422065828,Bonds,509571.0
5283203697,Mutual Funds,287203.0
3896467713,Mutual Funds,621606.0
2989113029,Bonds,134259.0
4812282527,Stocks,306044.0
1415048206,High Yeld Savings,971168.0
3153797150,High Yeld Savings,893995.0
3453615009,Stocks,977177.0
8612087731,High Yeld Savings,623309.0
