account_number,product_name,balance
3497713273,Student Loan,391561.0
8548544576,Personal Loan,19811.0
9770653841,Mortgage Loan,444356.0
5947552437,Student Loan,26444.0
7637127917,Mortgage Loan,332335.0
3675614494,Mortgage Loan,81286.0
1995430691,Student Loan,395912.0
9331648791,Student Loan,159047.0
5735645616,Mortgage Loan,180099.0
4590444661,Mortgage Loan,56210.0
4423513303,Student Loan,437546.0
5347530037,Auto Loan,320299.0
695805197,Credit Card,361430.0
5467404339,Credit Card,41194.0
5626157341,Credit Card,340096.0
3026905078,Credit Card,395410.0
5740776983,Student Loan,345314.0
9231330858,Credit Card,291801.0
6137289842,Student Loan,282961.0
3230050668,Student Loan,400304.0
521146411,Credit Card,418270.0
4469152013,Student Loan,93475.0
7573119735,Personal Loan,259012.0
226985972,Auto Loan,91545.0
8905627730,Student Loan,326946.0
7741207452,Student Loan,19936.0
5534482742,Student Loan,37854.0
5035486460,Student Loan,66828.0
1715023047,Credit Card,311362.0
294323314,Student Loan,251319.0
3944620473,Student Loan,100569.0
5955135033,Student Loan,250051.0
5894090287,Student Loan,51592.0
1834345113,Student Loan,464912.0
8764518334,Student Loan,445230.0
9699776156,Mortgage Loan,168061.0
6134926604,Mortgage Loan,47090.0
6527194254,Credit Card,435175.0
1287272764,Mortgage Loan,157889.0
940014853,Mortgage Loan,99535.0
2983860958,Student Loan,227617.0
2771188930,Mortgage Loan,64363.0
8421041696,Student Loan,365816.0
9556075133,Credit Card,172097.0
6039402837,Credit Card,466047.0
4707638417,Mortgage Loan,447727.0
6512059381,Mortgage Loan,290523.0
6571580098,Student Loan,140327.0
5068875300,Student Loan,341626.0
2864244359,Credit Card,424317.0
3485777698,Mortgage Loan,474061.0
2598288974,Mortgage Loan,258807.0
8488082657,Credit Card,122647.0
5064348017,Mortgage Loan,319311.0
6089117675,Mortgage Loan,280161.0
1967601719,Student Loan,170667.0
3794325541,Student Loan,476657.0
8980046052,Credit Card,152714.0
7268508916,Mortgage Loan,137479.0
9667240692,Student Loan,103425.0
1025132742,Credit Card,130373.0
266164939,Student Loan,144695.0
212642155,Student Loan,278833.0
2169451612,Mortgage Loan,392440.0
6284290652,Credit Card,453248.0
9578628241,Mortgage Loan,245917.0
4144763087,Mortgage Loan,489229.0
3986046529,Mortgage Loan,478034.0
8823441045,Mortgage Loan,406933.0
5335521537,Mortgage Loan,481829.0
2886306312,Credit Card,22924.0
6517815296,Student Loan,74070.0
4422757985,Mortgage Loan,499814.0
7618933301,Mortgage Loan,207354.0
1166445055,Student Loan,24667.0
8819966844,Personal Loan,401521.0
6666610127,Student Loan,407746.0
4758104116,Mortgage Loan,399926.0
1080350332,Student Loan,473133.0
3031295012,Student Loan,212565.0
3282879159,Student Loan,470424.0
3718358342,Student Loan,259465.0
6139894637,Student Loan,59876.0
7665719313,Personal Loan,218409.0
1485186520,Student Loan,168123.0
1354719887,Credit Card,95661.0
2619168827,Mortgage Loan,434427.0
3371165796,Credit Card,419731.0
8217108081,Student Loan,96191.0
8069450558,Student Loan,175504.0
8605681671,Student Loan,217100.0
2660507790,Student Loan,394690.0
7005148714,Student Loan,380960.0
4506501491,Student Loan,139369.0
7542174751,Student Loan,72227.0
3368831836,Student Loan,456969.0
4695082850,Auto Loan,91599.0
1826546258,Personal Loan,351225.0
1325958126,Credit Card,195605.0
8240644521,Student Loan,303771.0
2636065228,Mortgage Loan,237852.0
8851850527,Mortgage Loan,135016.0
5674085423,Student Loan,228209.0
3942232867,Mortgage Loan,53143.0
3347866836,Personal Loan,298336.0
9147862249,Mortgage Loan,353257.0
8029940678,Student Loan,264441.0
6410833639,Mortgage Loan,333284.0
7349905968,Mortgage Loan,255670.0
9048825828,Credit Card,215337.0
132551601,Student Loan,176338.0
1535651728,Credit Card,94333.0
6403149934,Mortgage Loan,471125.0
1776645874,Student Loan,109358.0
4046579534,Credit Card,128003.0
3967860304,Credit Card,185979.0
7955270213,Mortgage Loan,88000.0
4973656195,Mortgage Loan,60650.0
2404426574,Student Loan,297242.0
3384754325,Mortgage Loan,415935.0
8914905018,Mortgage Loan,458819.0
7181685427,Student Loan,34417.0
5264676969,Personal Loan,196056.0
8492106253,Auto Loan,151256.0
3595359864,Credit Card,345600.0
8553032016,Credit Card,448221.0
2317526368,Mortgage Loan,87790.0
5132318364,Student Loan,408761.0
2302848904,Mortgage Loan,481066.0
2212080852,Mortgage Loan,19123.0
2953675728,Mortgage Loan,105243.0
3370949345,Mortgage Loan,202586.0
7022177486,Mortgage Loan,65908.0
426293644,Student Loan,480791.0
8349243477,Student Loan,204372.0
5023734730,Auto Loan,9639.0
4617141410,Mortgage Loan,93639.0
5672944645,Auto Loan,198205.0
6093887425,Mortgage Loan,419565.0
7265216624,Mortgage Loan,11834.0
3160303728,Mortgage Loan,16598.0
1669669962,Personal Loan,197017.0
269258367,Mortgage Loan,355553.0
9068590131,Personal Loan,350972.0
9903634011,Credit Card,427744.0
9059463409,Personal Loan,332677.0
9797484314,Mortgage Loan,24369.0
6427496009,Student Loan,448486.0
5409753645,Student Loan,37074.0
153302080,Student Loan,413432.0
5134923325,Credit Card,176443.0
6689808061,Student Loan,429356.0
2117848330,Auto Loan,284243.0
9391121046,Mortgage Loan,336100.0
6227126023,Mortgage Loan,74735.0
6989856111,Personal Loan,229154.0
2400453537,Mortgage Loan,234026.0
814969895,Auto Loan,216963.0
753458134,Auto Loan,430804.0
2734530500,Student Loan,487002.0
8591037469,Credit Card,213299.0
3262281051,Personal Loan,412163.0
8193687417,Credit Card,420721.0
6672968028,Auto Loan,356734.0
8071090382,Personal Loan,19743.0
4331953350,Credit Card,294807.0
8604183490,Auto Loan,306743.0
6179635122,Auto Loan,401894.0
5367693191,Mortgage Loan,354712.0
8201470599,Credit Card,163914.0
825914618,Mortgage Loan,390402.0
3998849687,Mortgage Loan,412681.0
6589487906,Auto Loan,383744.0
654109006,Auto Loan,55144.0
9665540861,Student Loan,322342.0
3791031529,Credit Card,354633.0
3854146700,Credit Card,321518.0
5340217659,Student Loan,5721.0
5422628009,Credit Card,490959.0
9552491719,Credit Card,282308.0
432034789,Mortgage Loan,212714.0
9032803048,Credit Card,375059.0
8035811152,Credit Card,170900.0
5387916203,Credit Card,495350.0
8831910002,Student Loan,169461.0
3187878211,Mortgage Loan,248904.0
2978851889,Mortgage Loan,207340.0
9938735084,Auto Loan,246212.0
9775291838,Auto Loan,30997.0
1331874161,Credit Card,197776.0
2301301340,,445568.0
4283776284,Auto Loan,309207.0
3461380855,Student Loan,6013.0
7945148881,Mortgage Loan,295409.0
4800864305,Mortgage Loan,107308.0
9208439617,Student Loan,443980.0
6644353811,Auto Loan,123567.0
7526293688,Mortgage Loan,316888.0
3442594352,Student Loan,196963.0
7691010177,Mortgage Loan,354119.0
4640825948,Credit Card,373097.0
1773058891,Student Loan,26784.0
9780555941,Credit Card,399772.0
3767302433,Student Loan,362748.0
9956791460,Credit Card,105708.0
397647732,Auto Loan,231569.0
7171317661,Student Loan,220631.0
4783147029,Student Loan,143534.0
7428035216,Mortgage Loan,346780.0
8432231171,Credit Card,467877.0
5943274618,Credit Card,162313.0
7893153638,Mortgage Loan,232193.0
7262374649,Student Loan,159486.0
2070693665,Personal Loan,207421.0
5299972384,Auto Loan,221867.0
963155975,Personal Loan,473326.0
2140476510,Student Loan,182380.0
4939714603,Student Loan,153830.0
6959401263,Credit Card,91484.0
3554652148,Credit Card,318543.0
9277226849,Credit Card,145315.0
827799353,Student Loan,362383.0
1336271403,Mortgage Loan,137120.0
